BATfinal,VpFinal,KtransFinal,Kepfinal,VeFinal,RSSFinal,RSS0,RSS1,RSS2,RSS3,F1v0,F2v1,F3v2,BAT1,Vp1,BAT2,Vp2,Ktrans2,BAT3,Vp3,Ktrans3,Kep3,Ve3,WhichModel,TProb1,TProb2,TProb3,TProbFinal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.00099998,0.00058342,0.24048,0.0024261,9.72E-08,9.40E-06,1.09E-06,6.30E-07,9.72E-08,1,1,1,1,0.002013,1,0.0017304,9.28E-05,1,0.00099998,0.00058342,0.24048,0.0024261,4,0.91907,0.89032,0.75078,0.75078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.00088495,0.00075536,0.14806,0.0051017,1.33E-07,1.53E-05,3.22E-06,1.27E-06,1.33E-07,1,1,1,1,0.0024244,1,0.0018459,0.00018994,1,0.00088495,0.00075536,0.14806,0.0051017,4,0.95949,0.93233,0.81144,0.81144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.00096049,0.00071486,0.12229,0.0058455,2.49E-07,1.66E-05,3.82E-06,1.29E-06,2.49E-07,1,1,1,1,0.0024983,1,0.001839,0.00021648,1,0.00096049,0.00071486,0.12229,0.0058455,4,0.9545,0.91427,0.83375,0.83375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.00061898,0.00081061,0.11562,0.0070112,1.62E-07,1.66E-05,4.91E-06,1.52E-06,1.62E-07,1,1,1,1,0.0023868,1,0.001624,0.00025048,1,0.00061898,0.00081061,0.11562,0.0070112,4,0.97625,0.95705,0.90609,0.90609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.00046543,0.00072635,0.11498,0.0063169,1.10E-07,1.26E-05,3.94E-06,1.21E-06,1.10E-07,1,1,1,1,0.0020518,1,0.0013671,0.00022484,1,0.00046543,0.00072635,0.11498,0.0063169,4,0.97948,0.96407,0.92186,0.92186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.00044038,0.00055291,0.095689,0.0057782,7.52E-08,8.71E-06,2.78E-06,6.89E-07,7.52E-08,1,1,1,1,0.0017004,1,0.0011008,0.00019688,1,0.00044038,0.00055291,0.095689,0.0057782,4,0.97669,0.95034,0.88142,0.88142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.00094713,0.00092734,0.15457,0.0059995,1.98E-07,2.10E-05,4.67E-06,1.92E-06,1.98E-07,1,1,1,1,0.0028206,1,0.0021324,0.00022596,1,0.00094713,0.00092734,0.15457,0.0059995,4,0.97269,0.9581,0.90633,0.90633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.00065204,0.00046574,0.083971,0.0055465,7.97E-08,8.53E-06,2.30E-06,5.05E-07,7.97E-08,1,1,1,1,0.001744,1,0.0011891,0.00018221,1,0.00065204,0.00046574,0.083971,0.0055465,4,0.96679,0.91522,0.79605,0.79605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.00035602,0.00037361,0.06234,0.0059932,6.44E-08,5.36E-06,2.00E-06,3.02E-07,6.44E-08,1,1,1,1,0.001281,1,0.00074169,0.0001771,1,0.00035602,0.00037361,0.06234,0.0059932,4,0.9871,0.96511,0.95004,0.95004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.00062912,0.00036918,0.073281,0.0050379,7.71E-08,6.45E-06,1.72E-06,3.28E-07,7.71E-08,1,1,1,1,0.0015188,1,0.0010295,0.00016066,1,0.00062912,0.00036918,0.073281,0.0050379,4,0.97839,0.94113,0.89548,0.89548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
