68,,,,,,,,,,TRUE,,
VP,KTRANS,KEP ,,,,,,,,VP,KTRANS,KEP 
0.00044038,0.00055291,0.095689,0,0,0,1,,,,0.000821893,0.000602293,0.087447125
0.00065204,0.00046574,0.083971,0,0,0,1,,,,0.001139284,0.000882007,0.141182778
0.00035602,0.00037361,0.06234,0,0,0,1,,,,0.001205984,0.000892249,0.20682
0.00062912,0.00036918,0.073281,0,0,0,1,,,,0.001334674,0.001329534,0.414474706
0.00061726,0.00026909,0.08278,0,0,0,1,,,,,,
0.0010046,0.00040794,0.077686,0,0,0,1,,,,,,
0.00087105,0.00049849,0.088132,0,0,0,1,,,,,,
0.0010193,0.00061641,0.085046,0,0,0,1,,,,,,
0.0012516,0.00077799,0.09648,0,0,0,1,,,,,,
0.0010249,0.0010635,0.11144,0,0,0,1,,,,,,
0.00087543,0.00087811,0.11191,0,0,0,1,,,,,,
0.00094733,0.00079083,0.097027,0,0,0,1,,,,,,
0.00099261,0.00053378,0.088942,0,0,0,1,,,,,,
0.00074824,0.00067205,0.091963,0,0,0,1,,,,,,
0.00090823,0.00077913,0.077176,0,0,0,1,,,,,,
0.00081218,0.00058792,0.075291,0,0,0,1,,,,,,
0.00088495,0.00075536,0.14806,0,0,0,2,,,,,,
0.00096049,0.00071486,0.12229,0,0,0,2,,,,,,
0.00061898,0.00081061,0.11562,0,0,0,2,,,,,,
0.00046543,0.00072635,0.11498,0,0,0,2,,,,,,
0.0019097,0.00104,0.1438,0,0,0,2,,,,,,
0.0010776,0.0011219,0.16482,0,0,0,2,,,,,,
0.0012601,0.00095708,0.119,0,0,0,2,,,,,,
0.00042311,0.00035721,0.13545,0,0,0,2,,,,,,
0.00094713,0.00092734,0.15457,0,0,0,2,,,,,,
0.0014385,0.0007932,0.15394,0,0,0,2,,,,,,
0.001112,0.00098559,0.15592,0,0,0,2,,,,,,
0.001105,0.00081868,0.12221,0,0,0,2,,,,,,
0.00085393,0.00092505,0.14787,0,0,0,2,,,,,,
0.0015235,0.00099068,0.14386,0,0,0,2,,,,,,
0.001116,0.001146,0.13515,0,0,0,2,,,,,,
0.0014622,0.0010679,0.16331,0,0,0,2,,,,,,
0.0013118,0.00061232,0.13794,0,0,0,2,,,,,,
0.0020367,0.001126,0.1625,0,0,0,2,,,,,,
0.001348,0.00058366,0.16558,0,0,0,3,,,,,,
0.0016235,0.00056684,0.23193,0,0,0,3,,,,,,
0.00078165,0.00086016,0.24326,0,0,0,3,,,,,,
0.00050081,0.00062367,0.17826,0,0,0,3,,,,,,
0.00099998,0.00058342,0.24048,0,0,0,3,,,,,,
0.0008169,0.00069342,0.22725,0,0,0,3,,,,,,
0.00068743,0.00088479,0.26185,0,0,0,3,,,,,,
0.00068841,0.00072128,0.23443,0,0,0,3,,,,,,
0.00055163,0.00076897,0.19088,0,0,0,3,,,,,,
0.0022375,0.00097515,0.20657,0,0,0,3,,,,,,
0.0021263,0.0011163,0.25865,0,0,0,3,,,,,,
0.0014279,0.0012025,0.18083,0,0,0,3,,,,,,
0.00057377,0.0011119,0.23148,0,0,0,3,,,,,,
0.0018465,0.00074464,0.17239,0,0,0,3,,,,,,
0.0012791,0.0017553,0.24451,0,0,0,3,,,,,,
0.0020197,0.0012786,0.16722,0,0,0,3,,,,,,
0.00099264,0.00069764,0.08037,0,0,0,3,,,,,,
0.00070369,0.00062894,0.29361,0,0,0,4,,,,,,
0.00066948,0.00099568,0.49219,0,0,0,4,,,,,,
0.00065404,0.00066406,0.30744,0,0,0,4,,,,,,
0.001286,0.0010902,0.39269,0,0,0,4,,,,,,
0.0011004,0.0017795,0.48022,0,0,0,4,,,,,,
0.0012811,0.0015022,0.36478,0,0,0,4,,,,,,
0.0015545,0.0020797,0.7391,0,0,0,4,,,,,,
0.0021489,0.0014495,0.38114,0,0,0,4,,,,,,
0.0017606,0.0014536,0.31108,0,0,0,4,,,,,,
0.0016694,0.0014935,0.47419,0,0,0,4,,,,,,
0.0018576,0.0014777,0.39154,0,0,0,4,,,,,,
0.0015621,0.0010042,0.41227,0,0,0,4,,,,,,
0.0013903,0.0014935,0.32809,0,0,0,4,,,,,,
0.00093104,0.0016482,0.57934,0,0,0,4,,,,,,
0.0013323,0.0011496,0.34603,0,0,0,4,,,,,,
0.0014576,0.0014617,0.46324,0,0,0,4,,,,,,
0.0013304,0.0012303,0.28912,0,0,0,4,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
VP,,,,,,,,,,,,
6,10,15,20,30,60,,,,,,,
0.00098219,0.001043,0.0011039,0.0012451,0.00094686,0.00093977,1,,,,,,
0.00082338,0.0008918,0.00092578,0.0010267,0.0007381,0.00071035,1,,,,,,
0.0009921,0.0010743,0.0011459,0.00092589,0.0008915,0.00091802,1,,,,,,
0.0013688,0.0014432,0.0014225,0.0017096,0.001219,0.0011816,1,,,,,,
0.0012384,0.0013216,0.0015119,0.0010979,0.00098459,0.00095389,1,,,,,,
0.0012342,0.0013018,0.0013865,0.0015826,0.0010966,0.0010751,1,,,,,,
0.00050729,0.00059249,0.00063751,0.00074178,0.00051356,0.00041152,1,,,,,,
0.0011579,0.0011702,0.001296,0.0014367,0.0010149,0.00094773,1,,,,,,
0.00080207,0.000838,0.00093785,0.00070751,0.00068731,0.0007312,1,,,,,,
0.00039025,0.00046711,0.00055317,0.00031534,0.00069682,0.00051,1,,,,,,
0.00066753,0.0006712,0.00076907,0.00080662,0.00087225,0.00060882,1,,,,,,
0.0005969,0.00063532,0.00065925,0.00072126,0.00055054,0.0005202,1,,,,,,
0.0010341,0.001129,0.0012099,0.00095071,0.00096228,0.00096114,1,,,,,,
0.00088328,0.00091598,0.00099168,0.0011213,0.00080176,0.00072888,1,,,,,,
0.0010451,0.0011554,0.00089519,0.00088956,0.0008774,0.0011128,1,,,,,,
0.00087764,0.00093574,0.0009935,0.0011174,0.00080537,0.00079318,1,,,,,,
0.0017458,0.0017271,0.001867,0.0015863,0.0015691,0.0015139,2,,,,,,
0.0013032,0.0013023,0.0010473,0.0010773,0.0010665,0.0010375,2,,,,,,
0.00045332,0.00049004,0.00037971,0.00036939,0.00037188,0.00037026,2,,,,,,
0.0016367,0.0016954,0.0019465,0.0012232,0.0012443,0.001464,2,,,,,,
0.0015485,0.0016375,0.0017676,0.0018504,0.0020267,0.0015721,2,,,,,,
0.0013413,0.0015242,0.0017933,0.001203,0.0013527,0.0013191,2,,,,,,
0.0012695,0.0013147,0.001458,0.0016467,0.0011529,0.0011111,2,,,,,,
0.0008331,0.00087269,0.0010391,0.00069807,0.00063189,0.00059494,2,,,,,,
0.0019484,0.0021093,0.0014605,0.001621,0.0017184,0.0018125,2,,,,,,
