BATfinal,VpFinal,KtransFinal,Kepfinal,VeFinal,RSSFinal,RSS0,RSS1,RSS2,RSS3,F1v0,F2v1,F3v2,BAT1,Vp1,BAT2,Vp2,Ktrans2,BAT3,Vp3,Ktrans3,Kep3,Ve3,WhichModel,TProb1,TProb2,TProb3,TProbFinal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.428,0.03,0.01,0.01,0.0094951,3.19E-07,5.48E-05,4.40E-06,1.47E-06,3.19E-07,1,1,1,10,0.0065674,10,0.0052499,0.0004604,19,0.0037084,0.0013357,0.14068,0.0094951,4,0.88943,0.89954,0.86649,0.86649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4568,0.03,0.01,0.05,0.0094859,1.89E-07,1.86E-05,3.56E-06,8.66E-07,1.89E-07,1,1,1,10,0.0035885,10,0.0023265,0.00044101,11,0.0013367,0.0010174,0.10725,0.0094859,4,0.93395,0.90853,0.9699,0.9699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.97118,0.03,0.01,0.1,0.0090941,1.79E-07,1.63E-05,2.76E-06,6.14E-07,1.79E-07,1,1,1,10,0.0034086,11,0.0022669,0.0003952,16,0.0014412,0.00084582,0.093008,0.0090941,4,0.9455,0.96142,0.94787,0.94787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4568,0.03,0.01,0.15,0.010551,4.72E-07,4.05E-05,5.81E-06,1.82E-06,4.72E-07,1,1,1,10,0.0054481,10,0.0039104,0.00053733,11,0.0024308,0.0014378,0.13627,0.010551,4,0.91782,0.89344,0.99344,0.99344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.97118,0.03,0.01,0.2,0.0090941,1.79E-07,1.63E-05,2.76E-06,6.14E-07,1.79E-07,1,1,1,10,0.0034086,11,0.0022669,0.0003952,16,0.0014412,0.00084582,0.093008,0.0090941,4,0.9455,0.96142,0.94787,0.94787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4568,0.03,0.01,0.25,0.010551,4.72E-07,4.05E-05,5.81E-06,1.82E-06,4.72E-07,1,1,1,10,0.0054481,10,0.0039104,0.00053733,11,0.0024308,0.0014378,0.13627,0.010551,4,0.91782,0.89344,0.99344,0.99344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.97118,0.03,0.01,0.3,0.0090941,1.79E-07,1.63E-05,2.76E-06,6.14E-07,1.79E-07,1,1,1,10,0.0034086,11,0.0022669,0.0003952,16,0.0014412,0.00084582,0.093008,0.0090941,4,0.9455,0.96142,0.94787,0.94787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4568,0.03,0.07,0.01,0.010551,4.72E-07,4.05E-05,5.81E-06,1.82E-06,4.72E-07,1,1,1,10,0.0054481,10,0.0039104,0.00053733,11,0.0024308,0.0014378,0.13627,0.010551,4,0.91782,0.89344,0.99344,0.99344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.97118,0.03,0.07,0.05,0.0090941,1.79E-07,1.63E-05,2.76E-06,6.14E-07,1.79E-07,1,1,1,10,0.0034086,11,0.0022669,0.0003952,16,0.0014412,0.00084582,0.093008,0.0090941,4,0.9455,0.96142,0.94787,0.94787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4568,0.03,0.07,0.1,0.010551,4.72E-07,4.05E-05,5.81E-06,1.82E-06,4.72E-07,1,1,1,10,0.0054481,10,0.0039104,0.00053733,11,0.0024308,0.0014378,0.13627,0.010551,4,0.91782,0.89344,0.99344,0.99344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.97118,0.03,0.07,0.15,0.0090941,1.79E-07,1.63E-05,2.76E-06,6.14E-07,1.79E-07,1,1,1,10,0.0034086,11,0.0022669,0.0003952,16,0.0014412,0.00084582,0.093008,0.0090941,4,0.9455,0.96142,0.94787,0.94787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4568,0.03,0.07,0.2,0.010551,4.72E-07,4.05E-05,5.81E-06,1.82E-06,4.72E-07,1,1,1,10,0.0054481,10,0.0039104,0.00053733,11,0.0024308,0.0014378,0.13627,0.010551,4,0.91782,0.89344,0.99344,0.99344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.4568,0.03,0.07,0.25,0.0038045,2.66E-07,1.86E-05,1.26E-06,7.03E-07,2.66E-07,1,1,1,10,0.003859,11,0.0032652,0.00020276,17,0.0022557,0.00086404,0.22711,0.0038045,4,0.90875,0.91193,0.9664,0.9664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.9136,0.03,0.07,0.3,0.013369,9.08E-08,6.60E-06,1.98E-06,1.78E-07,9.08E-08,1,1,1,10,0.0019912,10,0.0009593,0.00036058,20,0.00059401,0.00053171,0.039772,0.013369,4,0.97309,0.98664,0.97411,0.97411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTCs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.097118,0.19424,0.29136,0.38847,0.48559,0.58271,0.67983,0.77695,0.87407,0.97118,1.0683,1.1654,1.2625,1.3597,1.4568,1.5539,1.651,1.7481,1.8452,1.9424,2.0395,2.1366,2.2337,2.3308,2.428,2.5251,2.6222,2.7193,2.8164,2.9136,3.0107,3.1078,3.2049,3.302,3.3991,3.4963,3.5934,3.6905,3.7876,3.8847,3.9819,4.079,4.1761,4.2732,4.3703,4.4674,4.5646,4.6617,4.7588,4.8559,4.953,5.0502,5.1473,5.2444,5.3415,5.4386,5.5357,5.6329,5.73,10,15,20,30,40,50,60,90,120
-5.17E-06,-1.93E-05,-0.00010851,6.12E-06,-5.17E-06,0.00013493,0.00010315,0.00034177,0.0010415,0.00073538,0.00067738,0.00079398,0.00090304,0.00080053,0.00090304,0.00093315,0.00085982,0.00085982,0.00093987,0.00095669,0.00087309,0.00089637,0.00088638,0.00092645,0.0010347,0.00093651,0.00097356,0.00093315,0.0010793,0.0010552,0.00094323,0.00095669,0.0010007,0.0010965,0.00094995,0.00095669,0.0010177,0.00098371,0.0010313,0.0011104,0.0010931,0.0010143,0.0010415,0.0010041,0.0010075,0.0010758,0.0010211,0.0010518,0.0010415,0.00099726,0.0010655,0.0011034,0.0010552,0.0010518,0.0010855,0.001152,0.0010827,0.00099387,0.0010092,0.0010245,0.0013832,0.0011416,0.0009164,,,,,,
