True Vp,Est Vp,True Ve,Est Ve,True Ktrans,Est Ktrans,True Kep,Est Kep,Vp %Err,Ve/Vp ratio
0.38568,0.28892,0.081168,0.069007,0.022178,0.0199,0.27323,0.28837,25.08815598,21.04542626
0.47335,0.24683,0.10331,0.089708,0.026497,0.023729,0.25647,0.26451,47.85465301,21.82528784
0.467,0.4369,0.1042,0.091452,0.022044,0.019335,0.21154,0.21143,6.445396146,22.31263383
0.42877,0.080914,0.1008,0.088922,0.022491,0.020402,0.22314,0.22944,81.12881032,23.50910745
0.45442,0.39747,0.11749,0.097019,0.026439,0.025006,0.22504,0.25774,12.53245896,25.85493596
0.48193,0.37735,0.12467,0.10892,0.032619,0.029393,0.26165,0.26984,21.70024692,25.86890212
0.4763,0.063341,0.12667,0.11183,0.029121,0.026278,0.22991,0.23498,86.70144867,26.59458325
0.4987,0.24863,0.1358,0.11637,0.025219,0.023046,0.18571,0.19804,50.14437538,27.23080008
0.34094,0.10889,0.094388,0.084125,0.025387,0.022766,0.26896,0.27062,68.06182906,27.68463659
0.48125,0.42591,0.13592,0.11776,0.033864,0.031657,0.24915,0.26883,11.49922078,28.24311688
0.47915,0.23196,0.13823,0.12222,0.038459,0.035373,0.27823,0.28943,51.58927267,28.84900344
0.36528,0.21716,0.11205,0.099513,0.022027,0.019708,0.19659,0.19805,40.54971529,30.67509855
0.40704,0.04567,0.1258,0.11206,0.021749,0.019464,0.17288,0.17369,88.77997248,30.90605346
0.41795,0.39225,0.13233,0.11563,0.038935,0.034533,0.29423,0.29866,6.149060892,31.66168202
0.47595,0.31218,0.15082,0.13108,0.042787,0.038388,0.2837,0.29287,34.40907658,31.68820254
0.343,0.070907,0.11503,0.10294,0.024946,0.022216,0.21687,0.21582,79.32740525,33.53644315
0.48955,0.40502,0.16836,0.14866,0.03726,0.033164,0.22131,0.22308,17.26687774,34.39076703
0.47326,0.20986,0.16679,0.14854,0.037543,0.033735,0.22509,0.22712,55.65651016,35.24278409
0.45777,0.29783,0.16188,0.14131,0.045588,0.041693,0.28161,0.29505,34.93894314,35.36273675
0.31055,0.23559,0.11464,0.098516,0.022379,0.02044,0.19522,0.20748,24.13782,36.91515054
0.46139,0.43774,0.17057,0.1476,0.036191,0.032569,0.21218,0.22066,5.125815471,36.96872494
0.38595,0.34161,0.14601,0.12573,0.030481,0.028013,0.20875,0.2228,11.48853478,37.8313253
0.48399,0.36731,0.18742,0.16075,0.020909,0.018868,0.11156,0.11738,24.10793611,38.72394058
0.34531,0.24761,0.13396,0.11611,0.025174,0.022785,0.18793,0.19623,28.29341751,38.79412702
0.3965,0.33459,0.15424,0.13398,0.043265,0.039474,0.2805,0.29462,15.61412358,38.90037831
0.37673,0.35827,0.14956,0.1299,0.038793,0.034976,0.25939,0.26926,4.900061052,39.69951955
0.34336,0.33677,0.13928,0.12123,0.036901,0.03355,0.26494,0.27675,1.919268406,40.5638397
0.48207,0.18302,0.20137,0.1823,0.025516,0.022505,0.12671,0.12345,62.0345593,41.77194183
0.33699,0.16269,0.14796,0.12719,0.030097,0.027653,0.20342,0.21742,51.72260304,43.90634737
0.2035,0.40249,0.090701,0.080293,0.022309,0.019837,0.24596,0.24705,97.78378378,44.57051597
0.40917,0.30525,0.18248,0.15316,0.031641,0.029105,0.17339,0.19003,25.39775643,44.59760002
0.34592,0.069548,0.15477,0.13785,0.026599,0.023847,0.17187,0.17299,79.89477336,44.74155874
0.38648,0.20702,0.18107,0.16057,0.037978,0.034307,0.20974,0.21366,46.43448561,46.85106603
0.31966,0.37096,0.14985,0.13731,0.021869,0.01928,0.14594,0.14041,16.04830132,46.8779328
0.46068,0.020307,0.21728,0.19469,0.037654,0.033877,0.1733,0.17401,95.59195103,47.16506035
0.39354,0.20434,0.18895,0.16512,0.048443,0.04444,0.25638,0.26915,48.07643442,48.01290847
0.32032,0.41391,0.15879,0.13532,0.041047,0.038001,0.25849,0.28082,29.21765734,49.5723027
0.41483,0.14014,0.21273,0.18869,0.058408,0.052514,0.27456,0.27831,66.21748668,51.28124774
0.32486,0.040557,0.16876,0.15038,0.050306,0.04516,0.2981,0.30031,87.51554516,51.94853168
0.26572,0.19048,0.13825,0.12155,0.036402,0.03332,0.2633,0.27412,28.3155201,52.028451
0.49316,0.23692,0.25711,0.22891,0.05772,0.051866,0.2245,0.22658,51.95879633,52.13520967
0.43426,0.21846,0.22971,0.20455,0.054359,0.04866,0.23664,0.23789,49.69373187,52.89688205
0.48037,0.32433,0.25674,0.22707,0.059685,0.054263,0.23247,0.23897,32.48329413,53.44630181
0.47063,0.2158,0.25316,0.22685,0.071932,0.064607,0.28414,0.28481,54.14656949,53.79172598
0.48545,0.083408,0.26528,0.23547,0.072377,0.065396,0.27283,0.27773,82.8184159,54.64620455
0.13891,0.28699,0.076891,0.065008,0.020427,0.017784,0.26567,0.27356,106.6013966,55.35310633
0.40047,0.26375,0.22248,0.19424,0.027057,0.024271,0.12162,0.12495,34.13988563,55.5547232
0.31932,0.3986,0.17894,0.15558,0.037615,0.033958,0.21021,0.21827,24.82775899,56.03783039
0.45127,0.27998,0.26094,0.2252,0.037604,0.033969,0.14411,0.15084,37.95732045,57.82347597
0.36371,0.33356,0.21221,0.18944,0.058337,0.052518,0.2749,0.27723,8.289571362,58.34593495
0.33792,0.021686,0.19987,0.17914,0.055326,0.049724,0.27681,0.27757,93.58250473,59.14713542
0.48422,0.16441,0.28662,0.25508,0.057039,0.051429,0.19901,0.20162,66.04642518,59.19210276
0.28323,0.11487,0.16859,0.15061,0.041147,0.037066,0.24406,0.24611,59.44285563,59.52406172
0.41961,0.43921,0.255,0.22799,0.065231,0.057586,0.25581,0.25259,4.671004028,60.77071566
