True Vp,Est Vp,True Ve,Est Ve,True Ktrans,Est Ktrans,True Kep,Est Kep
0.20418,0.010559,3.3804,2.8697,0.37184,0.33846,0.11,0.11794
0.13571,0.010879,2.1864,1.7282,0.2405,0.2293,0.11,0.13268
0.2845,0.018842,1.2233,1.121,0.13456,0.11989,0.11,0.10695
0.19397,0.024448,0.47688,0.44123,0.052456,0.047555,0.11,0.10778
0.079686,0.031806,1.7119,1.5301,0.18831,0.16692,0.11,0.10909
0.17627,0.032846,1.5064,1.3516,0.16571,0.14623,0.11,0.10819
0.086873,0.042862,2.2254,1.7478,0.2448,0.22618,0.11,0.12941
0.22866,0.024523,4.3741,3.7468,0.48115,0.44717,0.11,0.11935
0.15196,0.046327,2.3251,2.0293,0.25576,0.22353,0.11,0.11015
0.11564,0.055432,0.58591,0.45996,0.06445,0.059961,0.11,0.13036
0.28744,0.061063,0.62564,0.50689,0.068821,0.062469,0.11,0.12324
0.12796,0.063633,2.5535,2.2931,0.28088,0.24613,0.11,0.10734
0.24859,0.093352,4.4502,4.0098,0.48952,0.42176,0.11,0.10518
0.19734,0.10042,4.3459,3.7275,0.47805,0.42126,0.11,0.11301
0.011595,0.07997,2.7485,2.4165,0.30234,0.27343,0.11,0.11315
0.098859,0.097666,3.5085,3.2684,0.38593,0.33882,0.11,0.10367
0.033615,0.0989,0.51866,0.49174,0.057052,0.050387,0.11,0.10247
0.18397,0.1122,4.4297,4.5469,0.48727,0.41584,0.11,0.091455
0.27831,0.095341,3.703,3.2216,0.40733,0.36588,0.11,0.11357
0.26297,0.1055,3.6161,2.9922,0.39778,0.3655,0.11,0.12215
0.082486,0.11221,0.74804,0.73886,0.082284,0.070992,0.11,0.096083
0.11178,0.12769,1.8182,1.6948,0.2,0.17084,0.11,0.1008
0.031113,0.12194,2.7634,2.5092,0.30397,0.27563,0.11,0.10985
0.10289,0.12362,2.1969,1.8545,0.24166,0.22483,0.11,0.12123
0.21376,0.13693,4.4549,4.1639,0.49004,0.44333,0.11,0.10647
0.12268,0.15016,2.0007,2.2319,0.22007,0.18232,0.11,0.081689
0.18457,0.15655,2.5308,2.9592,0.27839,0.22783,0.11,0.076991
0.13892,0.1372,1.8089,1.3714,0.19898,0.19417,0.11,0.14158
0.011765,0.15217,2.2035,1.7731,0.24238,0.22324,0.11,0.1259
0.28007,0.17048,1.6041,1.3837,0.17645,0.15544,0.11,0.11234
0.2902,0.16506,4.0079,3.8169,0.44087,0.38717,0.11,0.10144
0.21901,0.1708,1.64,1.4141,0.1804,0.16622,0.11,0.11755
0.18755,0.1744,3.0851,2.5492,0.33936,0.30704,0.11,0.12045
0.075588,0.18108,2.6962,2.2845,0.29658,0.26738,0.11,0.11704
0.11864,0.18598,1.5106,1.2496,0.16616,0.15294,0.11,0.1224
0.16947,0.18813,2.5219,1.9537,0.27741,0.25967,0.11,0.13291
0.28743,0.19875,0.4884,0.35254,0.053724,0.051022,0.11,0.14473
0.26542,0.2086,3.4006,3.101,0.37407,0.33738,0.11,0.1088
0.10686,0.22152,1.3861,1.5985,0.15248,0.12671,0.11,0.079268
0.023921,0.2346,3.2976,3.7916,0.36273,0.29867,0.11,0.078774
0.024101,0.22139,0.78974,0.7478,0.086872,0.073608,0.11,0.098433
0.011159,0.23276,4.3722,3.8333,0.48094,0.43739,0.11,0.1141
0.26939,0.25339,3.9753,3.9066,0.43728,0.36818,0.11,0.094246
0.17097,0.23478,1.5733,1.3704,0.17306,0.15468,0.11,0.11287
0.19065,0.24885,4.1816,3.4175,0.45997,0.4263,0.11,0.12474
0.14022,0.24913,2.4456,2.2179,0.26901,0.2385,0.11,0.10753
0.11303,0.25848,1.9437,1.8106,0.2138,0.18437,0.11,0.10182
0.18265,0.25638,1.2971,1.0653,0.14268,0.1305,0.11,0.1225
0.077256,0.26013,2.4461,2.0224,0.26907,0.25049,0.11,0.12386
0.25021,0.27043,1.7081,1.7277,0.18789,0.16322,0.11,0.094476
