True Vp,Est Vp,True Ve,Est Ve,True Ktrans,Est Ktrans,True Kep,Est Kep
0.028338,0.024489,4.335,3.8563,0.47685,0.43129,0.11,0.11184
0.064433,0.06537,4.1617,3.8276,0.45778,0.40614,0.11,0.10611
0.21709,0.19585,2.7978,2.2881,0.30776,0.28037,0.11,0.12254
0.20888,0.18972,4.3424,3.7973,0.47766,0.42726,0.11,0.11252
0.05995,0.052266,3.2722,2.8707,0.35994,0.32261,0.11,0.11238
0.095554,0.086392,2.826,2.7746,0.31086,0.27687,0.11,0.099788
0.25641,0.2307,4.2858,3.6925,0.47144,0.43217,0.11,0.11704
0.053797,0.046006,3.8606,3.4464,0.42466,0.3824,0.11,0.11096
0.1415,0.13115,3.2645,3.1581,0.3591,0.31541,0.11,0.099874
0.17,0.14907,3.6863,3.1244,0.40549,0.37109,0.11,0.11877
0.04938,0.045896,3.2084,2.901,0.35293,0.31434,0.11,0.10836
0.05488,0.049774,3.9764,3.1593,0.4374,0.40559,0.11,0.12838
0.14608,0.13668,3.796,3.4067,0.41756,0.36996,0.11,0.1086
0.17446,0.15648,0.60261,0.48997,0.066287,0.060557,0.11,0.12359
0.1696,0.15653,3.6999,3.3881,0.40699,0.36326,0.11,0.10722
0.076885,0.071062,3.8542,3.5842,0.42396,0.37832,0.11,0.10555
0.28134,0.2566,1.3902,1.3451,0.15292,0.13288,0.11,0.098788
0.23049,0.21398,3.6832,3.4302,0.40515,0.36233,0.11,0.10563
0.13416,0.12236,1.6455,1.447,0.18101,0.16131,0.11,0.11148
0.12979,0.11698,1.1734,1.1796,0.12908,0.11493,0.11,0.097433
0.12085,0.11042,1.7338,1.4781,0.19072,0.17267,0.11,0.11682
0.11652,0.10542,2.0806,1.9966,0.22886,0.20207,0.11,0.10121
0.21292,0.19051,0.92522,0.88159,0.10177,0.091172,0.11,0.10342
0.14369,0.14061,3.7632,3.2951,0.41395,0.36964,0.11,0.11218
0.067907,0.060179,1.2007,1.0193,0.13208,0.1198,0.11,0.11753
0.26492,0.23661,0.90245,0.84421,0.09927,0.09108,0.11,0.10789
0.14993,0.13357,0.75076,0.67459,0.082584,0.07468,0.11,0.1107
0.04618,0.044038,2.0837,1.8381,0.2292,0.20598,0.11,0.11206
0.25327,0.22639,2.1355,2.1087,0.23491,0.2096,0.11,0.099399
0.1532,0.13945,3.0741,2.7812,0.33815,0.305,0.11,0.10967
0.10186,0.095549,3.7763,3.5525,0.4154,0.3695,0.11,0.10401
0.10199,0.091194,0.7224,0.65836,0.079464,0.07059,0.11,0.10722
0.16589,0.14987,1.3657,1.1894,0.15023,0.13463,0.11,0.11319
0.044308,0.04541,4.3457,3.9544,0.47803,0.42924,0.11,0.10855
0.097798,0.087626,1.8988,1.7999,0.20887,0.18752,0.11,0.10418
0.035034,0.031396,1.5782,1.4579,0.17361,0.15487,0.11,0.10623
0.24088,0.22044,2.8178,3.1779,0.30996,0.26579,0.11,0.083639
0.056779,0.053897,3.9038,3.5036,0.42941,0.38547,0.11,0.11002
0.10078,0.092181,2.998,2.738,0.32978,0.29525,0.11,0.10784
0.068306,0.061842,2.923,2.5911,0.32153,0.28657,0.11,0.1106
0.25083,0.22578,1.6228,1.3733,0.17851,0.16194,0.11,0.11792
0.1779,0.16432,3.5966,3.2081,0.39563,0.35678,0.11,0.11121
0.2129,0.19084,0.66307,0.47256,0.072937,0.07056,0.11,0.14932
0.032272,0.031358,3.1205,3.0202,0.34325,0.30494,0.11,0.10097
0.038049,0.037287,3.5842,3.3134,0.39426,0.35419,0.11,0.1069
0.12365,0.11559,2.6257,2.5562,0.28882,0.2546,0.11,0.0996
0.27135,0.24631,2.0186,2.0935,0.22204,0.19207,0.11,0.091749
0.24212,0.21897,0.6354,0.48533,0.069894,0.064102,0.11,0.13208
0.17341,0.15297,4.1777,3.4609,0.45955,0.42163,0.11,0.12182
0.24043,0.21201,4.4551,3.7659,0.49006,0.4486,0.11,0.11912
0.27249,0.24739,3.5219,3.3662,0.3874,0.34198,0.11,0.10159
0.080314,0.075485,2.2302,2.2554,0.24532,0.21537,0.11,0.09549
0.22116,0.1981,0.83706,0.78122,0.092077,0.082395,0.11,0.10547
0.2782,0.24299,1.8389,1.7028,0.20228,0.18322,0.11,0.1076
0.041411,0.039337,1.7853,1.5715,0.19638,0.17529,0.11,0.11154
0.28081,0.25676,3.1293,3.0859,0.34422,0.30248,0.11,0.098019
0.29308,0.25548,4.2093,3.3747,0.46302,0.42655,0.11,0.12639
0.183,0.16278,1.5396,1.2182,0.16936,0.1567,0.11,0.12863
0.28027,0.25203,1.8878,1.7324,0.20766,0.18666,0.11,0.10775
0.28033,0.25653,3.2897,3.0796,0.36186,0.32313,0.11,0.10492
0.059983,0.053007,2.8258,2.5308,0.31083,0.28044,0.11,0.11081
0.2068,0.18804,2.0968,1.904,0.23064,0.20834,0.11,0.10942
0.16582,0.14888,1.4101,1.1317,0.15511,0.14047,0.11,0.12412
0.27618,0.25089,2.958,2.9577,0.32538,0.28355,0.11,0.095869
0.18399,0.17105,3.036,3.2529,0.33396,0.29089,0.11,0.089426
0.012724,0.013746,2.6381,2.3593,0.29019,0.25996,0.11,0.11019
0.10642,0.097668,0.90355,0.90145,0.099391,0.087196,0.11,0.096729
0.18197,0.16322,3.0677,2.652,0.33745,0.30325,0.11,0.11435
0.051701,0.05053,3.0838,2.9516,0.33921,0.2971,0.11,0.10066
0.20151,0.18197,1.4934,1.2733,0.16427,0.14838,0.11,0.11653
0.17882,0.15788,2.7352,2.4996,0.30087,0.27063,0.11,0.10827
0.15966,0.14242,4.474,3.8638,0.49214,0.44894,0.11,0.11619
0.22801,0.20288,1.6965,1.4464,0.18661,0.17121,0.11,0.11837
0.053237,0.047213,3.2348,2.7587,0.35583,0.32166,0.11,0.1166
0.21973,0.19907,0.60158,0.62662,0.066174,0.056856,0.11,0.090735
0.24788,0.22437,3.7358,3.1736,0.41094,0.37063,0.11,0.11678
0.036745,0.031636,1.5824,1.4,0.17406,0.15796,0.11,0.11283
0.11303,0.1015,2.9231,2.5306,0.32154,0.29374,0.11,0.11607
0.24644,0.22021,3.0323,2.6401,0.33355,0.30348,0.11,0.11495
0.22375,0.2019,2.9394,2.8721,0.32333,0.28697,0.11,0.099913
0.13006,0.11335,4.1812,3.2968,0.45993,0.42385,0.11,0.12856
0.20543,0.18637,0.67181,0.74361,0.073899,0.063467,0.11,0.08535
0.11402,0.10525,4.1028,3.7182,0.45131,0.40757,0.11,0.10961
0.1514,0.13719,3.2971,2.9642,0.36268,0.32372,0.11,0.10921
0.14292,0.12815,3.6192,3.2831,0.39812,0.35577,0.11,0.10837
0.13832,0.12793,4.3467,3.9641,0.47813,0.42807,0.11,0.10799
0.13625,0.12254,1.0637,0.89412,0.117,0.10621,0.11,0.11878
0.27576,0.24701,0.91373,0.74748,0.10051,0.09066,0.11,0.12129
0.095062,0.083578,3.5624,3.0521,0.39187,0.35789,0.11,0.11726
0.046175,0.049385,4.5034,4.2055,0.49537,0.43526,0.11,0.1035
0.040802,0.037317,1.075,1.0202,0.11824,0.10422,0.11,0.10216
0.19025,0.17083,4.3871,4.0593,0.48258,0.42932,0.11,0.10576
0.18324,0.16677,4.2809,3.6358,0.4709,0.43185,0.11,0.11878
0.22744,0.20851,3.8762,3.882,0.42638,0.37465,0.11,0.09651
0.044633,0.042835,3.1619,2.9012,0.34781,0.31034,0.11,0.10697
0.28199,0.25413,2.0488,1.7126,0.22536,0.20756,0.11,0.1212
0.22839,0.19944,4.4706,3.7818,0.49176,0.44993,0.11,0.11897
0.10764,0.095314,1.9796,1.9064,0.21776,0.19396,0.11,0.10174
0.23803,0.21254,2.3109,2.0164,0.2542,0.23066,0.11,0.11439
0.17493,0.1562,0.89836,0.73516,0.098819,0.089503,0.11,0.12175
0.041124,0.03731,2.9263,2.6812,0.3219,0.28896,0.11,0.10777
0.22505,0.20286,3.0437,2.5832,0.33481,0.3043,0.11,0.1178
0.023703,0.023969,1.553,1.4715,0.17083,0.15229,0.11,0.10349
0.10408,0.10019,3.6472,3.4372,0.4012,0.35403,0.11,0.103
0.17581,0.15799,1.464,1.2597,0.16104,0.14541,0.11,0.11543
0.22401,0.20278,0.59536,0.52524,0.06549,0.059585,0.11,0.11344
0.11544,0.10146,2.2102,1.8703,0.24313,0.22223,0.11,0.11882
0.10248,0.091607,0.89415,0.82743,0.098356,0.08757,0.11,0.10583
0.030091,0.027199,3.0724,2.5714,0.33797,0.30735,0.11,0.11953
0.062604,0.057623,3.9623,3.5563,0.43585,0.39636,0.11,0.11145
0.24183,0.22526,3.3947,3.4763,0.37341,0.32312,0.11,0.092948
0.033746,0.025099,4.35,3.7538,0.4785,0.43677,0.11,0.11635
0.28715,0.25715,1.7524,1.8396,0.19276,0.16778,0.11,0.091202
0.029335,0.026133,1.2351,1.0783,0.13586,0.12164,0.11,0.1128
0.28705,0.26477,3.9926,3.5077,0.43919,0.39736,0.11,0.11328
