True Vp,Est Vp,True Ve,Est Ve,True Ktrans,Est Ktrans,True Kep,Est Kep,Vp %Err,Ktrans %Err,Kep %Err
0.10482,0.093289,14.123,12.122,0.14123,0.12757,0.01,0.010523,11.00,9.67,5.23
0.049444,0.050273,44.694,41.51,0.44694,0.39917,0.01,0.0096161,1.68,10.69,3.84
0.14577,0.13815,38.637,34.629,0.38637,0.34628,0.01,0.0099995,5.23,10.38,0.01
0.20672,0.1897,28.995,26.11,0.28995,0.25994,0.01,0.0099558,8.23,10.35,0.44
0.12215,0.1031,26.806,24.014,0.26806,0.24058,0.01,0.010019,15.60,10.25,0.19
0.19018,0.17147,18.785,16.483,0.18785,0.16896,0.01,0.010251,9.84,10.06,2.51
0.016191,0.016852,37.493,33.476,0.37493,0.33718,0.01,0.010072,4.08,10.07,0.72
0.12303,0.11207,18.453,16.884,0.18453,0.16509,0.01,0.0097778,8.91,10.53,2.22
0.048429,0.045809,11.45,10.334,0.1145,0.10258,0.01,0.0099259,5.41,10.41,0.74
0.28572,0.25705,43.693,39.867,0.43693,0.39102,0.01,0.009808,10.03,10.51,1.92
0.21618,0.19642,33.841,31.233,0.33841,0.30284,0.01,0.009696,9.14,10.51,3.04
0.18752,0.17299,30.879,28.503,0.30879,0.27598,0.01,0.0096824,7.75,10.63,3.18
0.095337,0.087742,36.564,32.392,0.36564,0.32939,0.01,0.010169,7.97,9.91,1.69
0.23573,0.21745,40.146,37.57,0.40146,0.35873,0.01,0.0095485,7.75,10.64,4.52
0.084768,0.074643,19.497,17.621,0.19497,0.17474,0.01,0.0099166,11.94,10.38,0.83
0.24653,0.22262,32.165,29.377,0.32165,0.28838,0.01,0.0098165,9.70,10.34,1.84
0.052254,0.044319,34.454,30.045,0.34454,0.3114,0.01,0.010365,15.19,9.62,3.65
0.25388,0.22595,25.036,22.351,0.25036,0.22549,0.01,0.010088,11.00,9.93,0.88
0.18426,0.16498,9.4447,8.5816,0.094447,0.084754,0.01,0.0098762,10.46,10.26,1.24
0.017995,0.006212,45.005,39.834,0.45005,0.40574,0.01,0.010186,65.48,9.85,1.86
0.10804,0.098451,9.5768,8.5805,0.095768,0.085965,0.01,0.010019,8.88,10.24,0.19
0.014735,0.011167,30.949,27.748,0.30949,0.27773,0.01,0.010009,24.21,10.26,0.09
0.12474,0.11658,32.24,29.081,0.3224,0.2887,0.01,0.0099276,6.54,10.45,0.72
0.095399,0.088577,47.614,41.532,0.47614,0.42831,0.01,0.010313,7.15,10.05,3.13
0.20658,0.18189,10.063,8.9213,0.10063,0.09091,0.01,0.01019,11.95,9.66,1.90
0.17915,0.16314,24.302,21.658,0.24302,0.21889,0.01,0.010107,8.94,9.93,1.07
0.015991,0.015014,28.427,26.292,0.28427,0.25343,0.01,0.0096389,6.11,10.85,3.61
0.14829,0.12473,20.761,18.755,0.20761,0.18654,0.01,0.009946,15.89,10.15,0.54
0.098439,0.088329,5.3795,4.7945,0.053795,0.048387,0.01,0.010092,10.27,10.05,0.92
0.11705,0.10918,32.288,28.774,0.32288,0.2914,0.01,0.010127,6.72,9.75,1.27
0.20872,0.17571,45.876,40.853,0.45876,0.41286,0.01,0.010106,15.82,10.01,1.06
0.018563,0.016604,21.368,19.458,0.21368,0.1916,0.01,0.0098467,10.55,10.33,1.53
0.036749,0.032276,30.88,28.097,0.3088,0.27739,0.01,0.0098725,12.17,10.17,1.28
0.03607,0.032382,17.389,15.617,0.17389,0.15637,0.01,0.010013,10.22,10.08,0.13
0.025703,0.021592,26.252,24,0.26252,0.2355,0.01,0.0098125,15.99,10.29,1.88
0.12296,0.10815,35.695,31.506,0.35695,0.32171,0.01,0.010211,12.04,9.87,2.11
0.27223,0.24265,12.03,10.366,0.1203,0.10881,0.01,0.010497,10.87,9.55,4.97
0.26871,0.24595,15.774,14.137,0.15774,0.14195,0.01,0.010042,8.47,10.01,0.42
0.28479,0.25381,46.283,41.855,0.46283,0.41595,0.01,0.009938,10.88,10.13,0.62
0.26798,0.24067,6.7819,5.814,0.067819,0.061223,0.01,0.01053,10.19,9.73,5.30
0.125,0.11199,9.5536,8.7352,0.095536,0.085559,0.01,0.0097948,10.41,10.44,2.05
0.16275,0.15338,42.015,37.973,0.42015,0.37687,0.01,0.0099245,5.76,10.30,0.76
0.011564,0.01336,33.333,30.755,0.33333,0.29875,0.01,0.0097139,15.53,10.37,2.86
0.085173,0.081688,27.145,25.046,0.27145,0.24311,0.01,0.0097067,4.09,10.44,2.93
0.12374,0.1188,47.19,42.383,0.4719,0.42284,0.01,0.0099767,3.99,10.40,0.23
0.019467,0.019665,41.308,38.428,0.41308,0.36947,0.01,0.0096147,1.02,10.56,3.85
0.15202,0.13768,20.521,18.406,0.20521,0.18422,0.01,0.010009,9.43,10.23,0.09
0.2559,0.2287,21.111,18.941,0.21111,0.18983,0.01,0.010022,10.63,10.08,0.22
0.028447,0.025567,10.365,9.3581,0.10365,0.092959,0.01,0.0099334,10.12,10.31,0.67
